date,close
2024-01-01,100.00
2024-01-02,100.80
2024-01-03,101.50
2024-01-04,100.30
2024-01-05,99.80
2024-01-06,100.10
2024-01-07,100.50
2024-01-08,101.20
2024-01-09,102.00
2024-01-10,101.50
2024-01-11,101.70
2024-01-12,102.40
2024-01-13,103.10
2024-01-14,102.80
2024-01-15,103.50
2024-01-16,104.20
2024-01-17,103.90
2024-01-18,103.30
2024-01-19,102.80
2024-01-20,103.00
2024-01-21,103.50
2024-01-22,103.80
2024-01-23,104.50
2024-01-24,105.20
2024-01-25,104.90
2024-01-26,104.30
2024-01-27,104.80
2024-01-28,105.10
2024-01-29,105.60
2024-01-30,106.20
2024-01-31,106.50
